** Cluster Picker Results **
Input sequences =	/home/david/Dropbox/Niyukuri/EAC_Phylogenetic/2020_raw_data/EAC_HIV_1_D.fas
Input tree =	/home/david/Dropbox/Niyukuri/EAC_Phylogenetic/2020_raw_data/EAC_HIV_1_D.fas.nwk
Initial support threshold=	0.8
Support threshold=	0.7
Genetic distance threshold=	0.045
Large cluster threshold=	2
-------------------------
** Sequences with cluster assignment output with new names
** Tree modified to contain new names
** new names have form: Clust(C)_(SequenceName) where C = cluster number, e.g. Clust25_139320
-------------------------
Output sequences =	/home/david/Dropbox/Niyukuri/EAC_Phylogenetic/2020_raw_data/EAC_HIV_1_D_EAC_HIV_1_D.fas_clusterPicks.fas
Output tree=	/home/david/Dropbox/Niyukuri/EAC_Phylogenetic/2020_raw_data/EAC_HIV_1_D.fas_clusterPicks.nwk
Output figtree=	/home/david/Dropbox/Niyukuri/EAC_Phylogenetic/2020_raw_data/EAC_HIV_1_D.fas_clusterPicks.nwk.figTree
-------------------------
There are	1445	sequences
Tree has	1445	tips
Found	282	clusters
ClusterNumber	NumberOfTips	NumberOfTipsCheck	TipNames	Bootstrap	GD
16	2	2	[D.UG.2007.MBA1358.KJ907044, D.UG.2008.CP076301846.HQ994991]	0.835	0.03205128205128205
17	2	2	[D.UG.2006.IAEM068.EU306787, D.UG.2010.3111130_PIN.JX498980]	0.952	0.01282051282051282
18	2	2	[D.TZ.2007.TZ_08_017176_D.HM572353, D.TZ.2009.TZ_09_028732_D.HM572335]	1.0	0.016025641025641024
19	5	5	[D.UG.1997.586.AY435313, D.UG.2001.TC011103.DQ079842, D.UG.2006.J0594_B.JN652163, D.UG.2007.J0594_1.JN652199, D.UG.2008.J0594_2.JN652209]	0.77	0.02564102564102564
20	2	2	[D.UG.1997.135390k.AY572850, D.UG.2006.MBA1156.KJ906854]	0.745	0.02564102564102564
21	2	2	[D.UG.2005.MBA1059.KJ906760, D.UG.2005.MBA1059_081105.EF186220]	0.883	0.03205128205128205
22	3	3	[D.UG.2006.IAEM036.EU306767, D.TZ.2007.TZ_08_017184_D.HM572350, D.UG.2006.IAEM030.EU306762]	0.807	0.041666666666666664
23	2	2	[D.UG.1997.9.AY428669, D.UG.1997.9.AY435221]	0.959	0.003205128205128205
24	2	2	[D.UG.2008.CP076300752.HQ995330, D.UG.2008.MBA1429.KJ907112]	0.848	0.035256410256410256
25	4	4	[D.RW.2008.743HENN.KC841758, D.UG.2010.JCRMARCH077_0.JX181994, D.UG.2005.E0090_1.JN652182, D.UG.2005.E0090_B.JN652149]	0.792	0.041666666666666664
26	2	2	[D.UG.2008.CP076302915.HQ995479, D.UG.2008.HIV102919.JN132321]	0.984	0.003205128205128205
27	2	2	[D.UG.2008.CP076301974.HQ995438, D.UG.2008.CP076302914.HQ995478]	0.761	0.003205128205128205
28	4	4	[D.UG.2005.16666D_P1.GQ409587, D.TZ.2007.TZ_08_022121_D.HM572339, D.UG.2009.300.KC018690, D.UG.2006.MBA1101.KJ906801]	0.831	0.041666666666666664
29	2	2	[D.UG.1997.55.AY428673, D.UG.1997.55.AY435230]	0.923	0.003205128205128205
30	2	2	[D.UG.2007.RCC_TDR_480650.JQ266026, D.UG.2007.RCC_TDR_807857.JQ266069]	0.906	0.003205128205128205
31	2	2	[D.UG.2005.B0715_B.JN652141, D.UG.2008.B0715_1.JN652173]	0.996	0.009615384615384616
32	2	2	[D.UG.1998.08_102651.FJ389142, D.UG.2007.MBA1264.KJ906957]	0.936	0.04487179487179487
33	2	2	[D.TZ.2006.0711924582101.KP681773, D.TZ.2006.07419245.KP681754]	0.988	0.00641025641025641
34	5	5	[D.UG.2008.CP076303053.HQ995235, D.UG.2008.HIV102947.JN132325, D.UG.1997.618.AF388153, D.UG.2008.CP076302964.HQ995050, D.UG.2008.CP076303086.HQ995263]	0.844	0.038461538461538464
35	3	3	[D.UG.2008.RCC_TDR_480876.JQ266086, D.UG.2006.MBA1137.KJ906835, D.UG.2007.MBA1232.KJ906926]	0.987	0.028846153846153848
36	2	2	[D.UG.2007.519.KC018899, D.UG.2007.MBA1193.KJ906891]	0.78	0.041666666666666664
37	4	4	[D.UG.2010.MBAMARCH094_0.JX182026, D.UG.2010.MBAMARCH094_24.KX073737, D.UG.2007.CP076305982.JQ480264, D.UG.2008.CP076302972.HQ995218]	0.975	0.009615384615384616
38	3	3	[D.UG.2006.MBA1128.KJ906826, D.UG.2006.IAEM070.EU306789, D.UG.2006.IAEM071.EU306790]	0.908	0.016025641025641024
39	2	2	[D.UG.1999.99UGK09259.AF484498, D.UG.2008.0322HR.JF800213]	0.795	0.03205128205128205
40	3	3	[D.UG.1999.99UGJ27597.AF484497, D.UG.1997.191.AY435249, D.UG.2010.6321430_RES.JX499013]	0.776	0.038461538461538464
41	2	2	[D.UG.2004.338185_E.HM037854, D.UG.2008.CP076301935.HQ995402]	0.756	0.03205128205128205
42	2	2	[D.UG.2009.AICPS008.HQ702679, D.UG.2009.AICPS338.HQ702632]	0.825	0.03205128205128205
43	3	3	[D.UG.2007.12.KC018515, D.UG.2007.CP076305797.JQ480254, D.UG.2008.CP076302019.HQ995455]	0.792	0.038461538461538464
44	2	2	[D.UG.1998.07_156912.FJ389062, D.UG.2008.CP076301836.HQ994987]	0.743	0.028846153846153848
45	2	2	[D.UG.2009.81.KC019100, D.UG.2009.MBA1511.KJ907187]	0.732	0.041666666666666664
46	3	3	[D.UG.1997.250.AF388074, D.UG.1997.827.AF388162, D.UG.1997.827.AY428725]	0.757	0.02564102564102564
47	2	2	[D.UG.1997.512.AY428689, D.UG.1998.512.AY425351]	0.855	0.003205128205128205
48	3	3	[D.UG.2008.RCC_TDR_483644.JQ266043, D.UG.2006.RCC_TDR_483555.JQ266068, D.UG.2008.RCC_TDR_480013.JQ266064]	0.976	0.01282051282051282
49	2	2	[D.UG.2008.J0303_1.JN652198, D.UG.2006.J0303_B.JN652162]	0.76	0.00641025641025641
50	2	2	[D.UG.2005.C0717_B.JN652144, D.UG.2007.C0717_1.JN652177]	0.974	0.019230769230769232
51	4	4	[D.UG.1997.717.AY435349, D.UG.1997.544.AY435305, D.UG.1997.763.AY435357, D.TZ.2005.TBK042.EU251740]	0.867	0.038461538461538464
52	2	2	[D.UG.1997.708.AY435341, D.UG.2005.MBAR006_120405.EF186222]	0.815	0.041666666666666664
53	3	3	[D.UG.2007.0B191727_5_C1.JX202837, D.UG.2007.0B191727_5_C3.JX202839, D.UG.2007.0B191727_5_C6.JX202842]	0.989	0.00641025641025641
54	2	2	[D.UG.1997.780.AY435360, D.UG.2010.JCRMARCH118_0.JX182007]	0.741	0.022435897435897436
55	2	2	[D.UG.2004.413094_D.HM037872, D.TZ.2004.S17Pol.JQ071463]	0.895	0.028846153846153848
56	2	2	[D.UG.2002.AMU072.KJ906690, D.UG.2008.CP076300899.HQ995144]	0.769	0.041666666666666664
57	2	2	[D.UG.2005.P0086_230305.EF186141, D.UG.2006.IAEAM009.EU306748]	0.896	0.04487179487179487
58	2	2	[D.UG.1997.765.AF388124, D.UG.2008.MBA1375.KJ907061]	0.856	0.022435897435897436
59	2	2	[D.UG.2008.CP076303049.HQ995232, D.TZ.2008.112326.KM438300]	0.866	0.035256410256410256
60	2	2	[D.UG.1998.08_102859.FJ389145, D.UG.2006.RCC_TDR_356892.JQ266020]	0.766	0.016025641025641024
61	2	2	[D.UG.2004.301V04000844.GU059298, D.UG.2004.301V04000920BM.GU059302]	0.925	0.003205128205128205
62	2	2	[D.UG.2008.CP076301939.HQ995405, D.UG.2008.CP076302933.HQ995489]	0.952	0.01282051282051282
63	3	3	[D.UG.2009.513.KC018893, D.UG.2004.454358_Z.HM037833, D.UG.2009.MBA1490.KJ907167]	0.77	0.04487179487179487
64	2	2	[D.UG.1998.08_101505.FJ389109, D.UG.1998.08_101560.FJ389120]	0.928	0.016025641025641024
65	5	5	[D.UG.2009.AICPS430.HQ702636, D.UG.2009.UGAIC431.HQ702684, D.UG.2005.16625D_P1.GQ409583, D.UG.2008.CP076300884.HQ995136, D.UG.2013.G105485R16.KX944677]	0.741	0.04487179487179487
66	3	3	[D.UG.2008.CP076303030.HQ995092, D.TZ.2005.TMS013.EU251793, D.UG.2013.E110164R16.KX944673]	0.757	0.04487179487179487
67	2	2	[D.UG.2008.HIV100795.JN132244, D.UG.2008.MBA1395.KJ907081]	0.808	0.022435897435897436
68	2	2	[D.UG.1998.07_156991.FJ389094, D.UG.2008.MBA1379.KJ907065]	0.909	0.041666666666666664
69	2	2	[D.UG.2005.MBA1013.KJ906718, D.UG.2005.MBA1013_090805.EF186201]	0.984	0.02564102564102564
70	2	2	[D.UG.1997.868.AF388132, D.UG.1997.868.AY428731]	0.933	0.01282051282051282
71	2	2	[D.UG.2009.AICPS269.HQ702646, D.UG.2010.JCRMARCH046_0.JX181987]	0.742	0.028846153846153848
72	2	2	[D.UG.2008.CP076303042.HQ995226, D.UG.2009.NTCPS735.HQ702647]	0.789	0.022435897435897436
73	2	2	[D.UG.2005.DT2626_05_P1.GQ409607, D.UG.2010.3096301_RES.JX498996]	0.804	0.041666666666666664
74	3	3	[D.UG.1998.98UG57131.AF484505, D.UG.2007.RCC_TDR_480124.JQ266087, D.UG.2008.207.KC018600]	0.852	0.04487179487179487
75	4	4	[D.UG.1999.99UGB32394.AF484483, D.UG.1997.494.AF388143, D.UG.2007.CP076304778.JQ480235, D.UG.2008.CP076300721.HQ994924]	0.768	0.035256410256410256
76	2	2	[D.UG.2006.IAEM010.EU306749, D.UG.2006.MBA1089.KJ906789]	0.733	0.041666666666666664
77	2	2	[D.UG.2006.IAEM057.EU306780, D.UG.2007.MBA1276.KJ906968]	0.924	0.035256410256410256
78	2	2	[D.UG.1994.94UG114.U88824, D.UG.2008.CP076301975.HQ995439]	0.827	0.022435897435897436
79	3	3	[D.UG.2008.CP076303096.HQ995272, D.UG.2008.CP076302059.HQ995023, D.UG.2012.E102420R15.KX944672]	0.782	0.03205128205128205
80	2	2	[D.UG.1998.98UG57146.AF484513, D.UG.1998.98UG57132.AF484506]	0.874	0.028846153846153848
81	4	4	[D.UG.2008.CP076300760.HQ994936, D.UG.2008.CP076300834.HQ994954, D.UG.2010.1021602_RES.JX498983, D.UG.2010.1024130_res.JX498987]	0.862	0.04487179487179487
82	2	2	[D.UG.2006.MBA1148.KJ906846, D.UG.2008.CP076302010.HQ995186]	0.774	0.03205128205128205
83	2	2	[D.TZ.2005.TBK014.EU251723, D.TZ.2005.TBK025.EU251731]	0.995	0.01282051282051282
84	3	3	[D.TZ.2005.TBK079.EU251766, D.UG.1998.08_102648.FJ389139, D.UG.2010.5136031_RES.JX499017]	0.825	0.041666666666666664
85	2	2	[D.UG.1997.10.AY428668, D.UG.1997.10.AY435222]	0.941	0.003205128205128205
86	2	2	[D.TZ.2005.TMS113.EU251813, D.BI.2007.201_4018.HG780631]	0.739	0.035256410256410256
87	2	2	[D.UG.1998.07_156982.FJ389088, D.UG.1997.470.AF388084]	0.757	0.035256410256410256
88	2	2	[D.UG.2010.MBAMARCH099_500.KX073747, D.TZ.2006.07010100013231.KP681800]	0.961	0.041666666666666664
89	3	3	[D.UG.2008.CP076300886.HQ994966, D.UG.2008.CP076301841.HQ995168, D.UG.2008.CP076303000.HQ995068]	0.887	0.04487179487179487
90	2	2	[D.UG.1998.07_156919.FJ389063, D.TZ.2009.41073.KM458594]	0.812	0.028846153846153848
91	16	16	[D.UG.2005.511D_2H2.KP739130, D.UG.2005.511D_2B3.KP739125, D.UG.2006.941D_4A6.KP739169, D.UG.2005.511D_3B12.KP739141, D.UG.2005.511D_3A6.KP739135, D.UG.2006.941D_4F3.KP739181, D.UG.2005.511D_2G5.KP739128, D.UG.2006.941D_1F10.KP739164, D.UG.2006.941D_1G9.KP739165, D.UG.2006.941D_6G4.KP739194, D.UG.2005.511D_3H8.KP739162, D.UG.2005.511D_3F9.KP739154, D.UG.2006.941D_4A10.KP739170, D.UG.2006.941D_6D5.KP739190, D.UG.2005.511D_2D1.KP739126, D.UG.2005.511D_2H6.KP739132]	0.985	0.019230769230769232
92	3	3	[D.UG.2006.941D_6B3.KP739187, D.UG.2005.511D_3A7.KP739136, D.UG.2005.511D_3C6.KP739144]	0.955	0.009615384615384616
93	3	3	[D.UG.2008.CP076302934.HQ995490, D.UG.2008.CP076301871.HQ995175, D.UG.2008.CP076303028.HQ995091]	0.761	0.041666666666666664
94	3	3	[D.UG.2005.0B190049_5_G1.JX202796, D.UG.1998.08_102854.FJ389144, D.UG.2007.42.KC018804]	0.857	0.041666666666666664
95	2	2	[D.UG.2004.301V04000351.GU059294, D.UG.2007.MBA1197.KJ906894]	0.85	0.035256410256410256
96	2	2	[D.UG.2004.RCC_TDR_353759.JQ266089, D.UG.2009.3981HR.JF800200]	0.837	0.041666666666666664
97	3	3	[D.UG.1997.13.AY428670, D.UG.1997.43.AF388066, D.UG.1998.07_156978.FJ389084]	0.817	0.03205128205128205
98	2	2	[D.UG.2005.DT3951_05_P1.GQ409626, D.UG.2006.MBA1161.KJ906859]	0.766	0.02564102564102564
99	2	2	[D.UG.2006.IAEM075.EU306792, D.UG.2008.CP076301999.HQ995451]	0.729	0.038461538461538464
100	4	4	[D.UG.1999.99UGD23550.AF484485, D.UG.2008.CP076303132.HQ995304, D.UG.2000.TC008303.DQ079851, D.UG.2007.CP076305959.JQ480263]	0.737	0.04487179487179487
101	2	2	[D.UG.2008.CP076301958.HQ995423, D.UG.2010.7498HR.JF800212]	0.799	0.03205128205128205
102	2	2	[D.UG.2009.AICPS034.HQ702681, D.UG.2013.H061873R16.KX944678]	0.822	0.04487179487179487
103	2	2	[D.UG.2003.301V03000758.GU059282, D.UG.2003.301V03000775BM.GU059284]	0.994	0.003205128205128205
104	2	2	[D.UG.2005.MBA1014.KJ906719, D.UG.2005.MBA1014_090805.EF186202]	0.941	0.016025641025641024
105	4	4	[D.UG.2005.DT3952_05_P1.GQ409627, D.UG.2009.MBA1478.KJ907156, D.UG.2005.MBA1031.KJ906734, D.UG.2005.MBA1031_240805.EF186209]	0.743	0.04487179487179487
106	2	2	[D.UG.2002.AMU024.KJ906644, D.UG.2013.F066208R16.KX944674]	0.9	0.035256410256410256
107	3	3	[D.UG.2005.16496D_P1.GQ409586, D.UG.1997.463.AF388083, D.UG.1997.463.AY428688]	0.768	0.03205128205128205
108	2	2	[D.UG.2010.417.KC018803, D.UG.2010.564.KC018940]	0.963	0.003205128205128205
109	4	4	[D.UG.2008.E0716_2.JN652207, D.UG.2005.16343D_P1.GQ409584, D.UG.2008.430.KC018930, D.UG.2008.55.KC018929]	0.856	0.04487179487179487
110	5	5	[D.TZ.1996.6961.AY036366, D.TZ.1996.6961.AY036367, D.TZ.1996.6961.AY036365, D.TZ.1996.6961.AY036364, D.TZ.1996.6961.AY036368]	0.996	0.041666666666666664
111	8	8	[D.TZ.1996.6953.AY036349, D.TZ.1996.6953.AY036346, D.TZ.1996.6953.AY036355, D.TZ.1996.6953.AY036356, D.TZ.1996.6953.AY036351, D.TZ.1996.6953.AY036348, D.TZ.1996.6953.AY036354, D.TZ.1996.6953.AY036352]	0.756	0.03205128205128205
112	2	2	[D.UG.2008.CP076301886.HQ995365, D.UG.2008.CP076301905.JN630972]	0.804	0.038461538461538464
113	2	2	[D.UG.2005.511D_2G8.KP739129, D.UG.2005.511D_3E12.KP739151]	0.843	0.01282051282051282
114	4	4	[D.UG.1998.07_156545.FJ389052, D.UG.2009.690.KC019051, D.UG.2008.C0776_1.JN652178, D.UG.2008.C0776_B.JN652145]	0.787	0.04487179487179487
115	2	2	[D.UG.2005.DT0917_05_P1.GQ409596, D.UG.2010.333.KC018722]	0.766	0.03205128205128205
116	2	2	[D.UG.2006.IAEM066.EU306785, D.UG.2007.MBA1307.KJ906996]	0.806	0.02564102564102564
117	2	2	[D.UG.2004.301V04005465.GU059333, D.UG.2004.301V04005492BM.GU059334]	0.97	0.022435897435897436
118	2	2	[D.UG.2005.DT3211_05_P1.GQ409613, D.UG.2010.JCRMARCH101_0.JX182000]	0.738	0.03205128205128205
119	2	2	[D.UG.2004.301V04001830.GU059307, D.UG.2004.301V04001898BM.GU059308]	0.976	0.016025641025641024
120	3	3	[D.UG.2005.RCC_TDR_359822.JQ266078, D.UG.2008.RCC_TDR_480009.JQ266031, D.UG.2005.MBA1062.KJ906763]	0.85	0.041666666666666664
121	2	2	[D.UG.2008.CP076301851.HQ994993, D.UG.2010.349.KC018740]	0.79	0.035256410256410256
122	2	2	[D.UG.2005.MBA1039.KJ906740, D.UG.2005.MBA1039_190905.EF186212]	0.841	0.00641025641025641
123	2	2	[D.UG.1997.698.AY428709, D.UG.1999.698.AY425354]	0.989	0.01282051282051282
124	2	2	[D.UG.1997.602.AF388152, D.UG.1997.602.AY428700]	0.731	0.016025641025641024
125	2	2	[D.UG.2008.CP076302051.HQ995203, D.TZ.2006.07021100005996.KP681808]	0.792	0.041666666666666664
126	3	3	[D.UG.1998.08_102874.FJ389148, D.UG.2006.B0717_B.JN652142, D.UG.2007.B0717_1.JN652174]	0.947	0.016025641025641024
127	4	4	[D.UG.2010.MBAMARCH049_0.JX182019, D.UG.2008.MBA1428.KJ907111, D.UG.2006.G0715_B.JN652158, D.UG.2007.G0715_1.JN652194]	0.855	0.04487179487179487
128	2	2	[D.UG.1997.788.AF388158, D.UG.1997.790.DQ230332]	0.769	0.01282051282051282
129	3	3	[D.UG.2008.406.KC018791, D.UG.2004.301V04004389.GU059329, D.UG.2004.301V04004442BM.GU059330]	0.845	0.041666666666666664
130	2	2	[D.UG.2002.TC023304.DQ079828, D.TZ.2005.TMS215.EU251850]	0.798	0.016025641025641024
131	2	2	[D.UG.2008.CP076303045.HQ995229, D.UG.2008.HIV101849.JN132282]	0.927	0.003205128205128205
132	3	3	[D.UG.1997.638.AY428708, D.UG.1997.638.AF388105, D.UG.1997.638.AY435395]	0.991	0.01282051282051282
133	5	5	[D.UG.2008.CP076302018.HQ995454, D.UG.2010.7054101_RES.JX499015, D.UG.2004.353334_H.HM037823, D.UG.2005.434747_M.HM037890, D.UG.2006.518577_J.HM037902]	0.86	0.03205128205128205
134	2	2	[D.UG.2006.MBA1158.KJ906856, D.UG.2005.DT2412_05_P1.GQ409606]	0.851	0.02564102564102564
135	2	2	[D.UG.2008.CP076302977.HQ995220, D.TZ.2009.41160.KM458593]	0.78	0.02564102564102564
136	2	2	[D.UG.2004.301V04001688.GU059303, D.UG.2004.301V04001727BM.GU059304]	0.86	0.016025641025641024
137	3	3	[D.UG.1997.675.AY435338, D.UG.1999.99UGE23438.AF484489, D.UG.2008.CP076300778.HQ995345]	0.73	0.038461538461538464
138	2	2	[D.UG.2006.MBA1144.KJ906842, D.TZ.2013.13742.KY747328]	0.928	0.04487179487179487
139	2	2	[D.TZ.2005.D.TZ.2005.530B-04-28.KF531330, D.TZ.2005.D.TZ.2005.530B-36-03.KF531331]	0.984	0.003205128205128205
140	2	2	[D.UG.2008.MBA1394.KJ907080, D.UG.2010.5832HR.JF800204]	0.902	0.038461538461538464
141	2	2	[D.UG.2008.CP076303067.HQ995247, D.UG.2008.HIV102988.JN132332]	0.938	0.003205128205128205
142	3	3	[D.UG.2008.HIV102887.JN132314, D.UG.2008.CP076300892.HQ995140, D.UG.2008.HIV102918.JN132320]	0.88	0.028846153846153848
143	2	2	[D.UG.2008.CP076300705.HQ995311, D.UG.2008.CP076302039.HQ995461]	0.988	0.003205128205128205
144	2	2	[D.UG.2005.MBA1030.KJ906733, D.UG.2005.MBA1030_240805.EF186208]	0.953	0.009615384615384616
145	2	2	[D.UG.2006.MBA1166.KJ906864, D.UG.2006.MBA1167.KJ906865]	0.875	0.04487179487179487
146	3	3	[D.UG.2005.14000D_P1.GQ409561, D.UG.1997.849.AY435375, D.UG.1997.509.AY435301]	0.8	0.041666666666666664
147	2	2	[D.UG.1997.483.AF388087, D.UG.1997.61.AY435237]	0.767	0.03205128205128205
148	3	3	[D.TZ.2001.A280.AY253311, D.UG.2007.CP076304736.JQ480234, D.UG.2008.CP076300814.HQ994946]	0.869	0.041666666666666664
149	2	2	[D.UG.2008.CP076302943.HQ995042, D.UG.2008.CP076302958.HQ995046]	0.965	0.00641025641025641
150	2	2	[D.UG.1998.07_156549.FJ389053, D.UG.1997.98.AY435259]	0.825	0.03205128205128205
151	3	3	[D.TZ.2008.109267.KM438238, D.UG.2006.J7221_B.JN652165, D.UG.2008.J7221_1.JN652201]	0.865	0.022435897435897436
152	2	2	[D.UG.2009.AICPS181.HQ702658, D.UG.2000.TC006803.DQ079856]	0.767	0.02564102564102564
153	2	2	[D.UG.1998.98UG57140.AF484511, D.TZ.2005.TBK022.EU251728]	0.728	0.028846153846153848
154	2	2	[D.UG.1998.07_156952.FJ389075, D.UG.2010.3100501_PIN.JX498978]	0.899	0.041666666666666664
155	2	2	[D.UG.2005.D0397_B.JN652146, D.UG.2006.D0397_1.JN652179]	0.998	0.022435897435897436
156	2	2	[D.UG.2006.IAEM047.EU306774, D.UG.1997.853.AY435372]	0.775	0.035256410256410256
157	2	2	[D.UG.1998.07_156992.FJ389095, D.UG.2008.CP076300784.JN630960]	0.882	0.038461538461538464
158	2	2	[D.UG.2008.CP076300761.HQ994937, D.UG.2008.CP076302894.HQ995467]	0.952	0.009615384615384616
159	7	7	[D.TZ.1996.2975.AY036304, D.TZ.1996.2975.AY036303, D.TZ.1996.2975.AY036305, D.TZ.1996.2975.AY036306, D.UG.1998.07_156889.FJ389057, D.UG.1998.07_156936.FJ389071, D.TZ.2004.S3pol.JQ071452]	0.779	0.038461538461538464
160	2	2	[D.UG.1997.537.AF388147, D.UG.1997.423.AF388077]	0.788	0.038461538461538464
161	2	2	[D.UG.1998.08_102897.FJ389152, D.UG.1997.723.AF388117]	0.78	0.035256410256410256
162	2	2	[D.UG.2010.MBAMARCH031_0.JX182013, D.UG.2010.MBAMARCH043_0.JX182016]	0.993	0.016025641025641024
163	2	2	[D.UG.2006.RCC_TDR_190330.JQ266027, D.UG.2008.RCC_TDR_480133.JQ266023]	0.855	0.003205128205128205
164	2	2	[D.UG.1997.227.AF388139, D.UG.1997.227.AY428680]	0.908	0.003205128205128205
165	2	2	[D.UG.1997.612.AF388101, D.UG.1997.612.AY428704]	0.927	0.00641025641025641
166	2	2	[D.UG.2007.MBA1275.KJ906967, D.UG.2008.CP076300841.HQ994957]	0.863	0.028846153846153848
167	2	2	[D.UG.1998.07_156959.FJ389078, D.BI.2007.102_1137.HG780835]	0.875	0.028846153846153848
168	2	2	[D.UG.2008.CP076301957.HQ995422, D.UG.2008.CP076301982.HQ995443]	0.825	0.028846153846153848
169	2	2	[D.TZ.2006.71110688.KP681764, D.UG.1997.102.AY435253]	0.738	0.041666666666666664
170	2	2	[D.TZ.2006.7116357.KP681703, D.TZ.2006.7118107.KP681709]	0.946	0.00641025641025641
171	2	2	[D.TZ.2006.07316498830571.KP681779, D.TZ.2006.7117957.KP681708]	0.945	0.028846153846153848
172	3	3	[D.UG.2008.RCC_TDR_480431.JQ266075, D.UG.2007.CP076306013.JQ480269, D.UG.2008.CP076302027.HQ995194]	0.714	0.035256410256410256
173	2	2	[D.TZ.2005.TMS308.EU251859, D.TZ.2009.41082.KM458607]	0.883	0.035256410256410256
174	2	2	[D.UG.2008.CP076300747.HQ994933, D.UG.2006.MBA1125.KJ906823]	0.761	0.041666666666666664
175	2	2	[D.UG.2006.941D_4F1.KP739180, D.RW.2008.712HENN.KC841736]	0.734	0.04487179487179487
176	2	2	[D.UG.1997.887.AF388134, D.UG.2007.MBA1332.KJ907018]	0.859	0.02564102564102564
177	2	2	[D.UG.1998.08_102650.FJ389141, D.UG.1999.99UGF05734.AF484490]	0.944	0.02564102564102564
178	2	2	[D.UG.1999.99UGE08364.AF484487, D.UG.2007.74.KC019089]	0.787	0.03205128205128205
179	3	3	[D.CD.2007.D_07CD2996.FR666662, D.UG.2005.D0710_B.JN652147, D.UG.2008.D0710_1.JN652180]	0.875	0.04487179487179487
180	2	2	[D.UG.2008.CP076302992.HQ995064, D.UG.2008.CP076303056.HQ995237]	0.989	0.016025641025641024
