** Cluster Picker Results **
Input sequences =	/home/david/Dropbox/Niyukuri/EAC_Phylogenetic/2020_raw_data/EAC_HIV_1_A.fas
Input tree =	/home/david/Dropbox/Niyukuri/EAC_Phylogenetic/2020_raw_data/EAC_HIV_1_A.fas.nwk
Initial support threshold=	0.8
Support threshold=	0.7
Genetic distance threshold=	0.045
Large cluster threshold=	2
-------------------------
** Sequences with cluster assignment output with new names
** Tree modified to contain new names
** new names have form: Clust(C)_(SequenceName) where C = cluster number, e.g. Clust25_139320
-------------------------
Output sequences =	/home/david/Dropbox/Niyukuri/EAC_Phylogenetic/2020_raw_data/EAC_HIV_1_A_EAC_HIV_1_A.fas_clusterPicks.fas
Output tree=	/home/david/Dropbox/Niyukuri/EAC_Phylogenetic/2020_raw_data/EAC_HIV_1_A.fas_clusterPicks.nwk
Output figtree=	/home/david/Dropbox/Niyukuri/EAC_Phylogenetic/2020_raw_data/EAC_HIV_1_A.fas_clusterPicks.nwk.figTree
-------------------------
There are	2095	sequences
Tree has	2095	tips
Found	440	clusters
ClusterNumber	NumberOfTips	NumberOfTipsCheck	TipNames	Bootstrap	GD
40	2	2	[A1.UG.2002.AMU034.KJ906654, A1.UG.2006.MBA1133.KJ906831]	0.778	0.04310344827586207
41	2	2	[A1.UG.2006.MBA1110.KJ906810, A1.UG.2008.CP076300836.HQ994955]	0.909	0.028735632183908046
42	2	2	[A1.UG.2008.CP076302976.HQ995219, A1.UG.2008.CP076303024.HQ995088]	0.924	0.020114942528735632
43	2	2	[A1.UG.2002.AMU023.KJ906643, A1.UG.2008.CP076300713.HQ995315]	0.858	0.04310344827586207
44	3	3	[A1.UG.1998.08_101504.FJ389108, A1.UG.2009.AICPS432.HQ702645, A1.UG.2009.NTCPS729.HQ702616]	0.977	0.02586206896551724
45	3	3	[A1.UG.2008.CP076302015.HQ995188, A1.UG.1997.46.AY435227, A1.UG.2002.AMU039.KJ906659]	0.942	0.040229885057471264
46	3	3	[A1.UG.2007.MBA1256.KJ906949, A1.UG.2004.350052_R.HM037822, A1.UG.2005.431730_B.HM037889]	0.903	0.031609195402298854
47	5	5	[A1.UG.1997.699.AF388155, A1.UG.1997.51.AY428675, A1.UG.1997.51.AY435234, A1.UG.2006.IAEAM007.EU306747, A1.UG.2010.KMV29_550039882202.JQ625648]	0.851	0.03735632183908046
48	2	2	[A1.UG.2004.301V04005655.GU059335, A1.UG.2004.301V04005698BM.GU059336]	0.979	0.011494252873563218
49	2	2	[A1.UG.2004.436063_G.HM037879, A1.UG.2009.262.KC018655]	0.843	0.031609195402298854
50	2	2	[A1.UG.2008.CP076302017.HQ995190, A1.UG.2008.CP076301834.HQ994985]	0.736	0.031609195402298854
51	2	2	[A1.UG.2004.301V04000057BM.GU059292, A1.UG.2004.301V04000184.GU059293]	0.9	0.022988505747126436
52	4	4	[A1.UG.2002.TC022504.DQ079830, A1.UG.2008.CP076300717.HQ995318, A1.UG.1997.619.AY435320, A1.UG.2010.KTQ57_500037872202.JQ625635]	0.848	0.031609195402298854
53	2	2	[A1.UG.1998.98UG57136.AF484509, A1.UG.2008.CP076300781.HQ995347]	0.875	0.022988505747126436
54	2	2	[A1.UG.2007.MBA1220.KJ906915, A1.UG.2007.MBA1287.KJ906978]	0.982	0.020114942528735632
55	16	16	[A1.UG.2009.AICPS435.HQ702635, A1.UG.1997.124727i_164.AY129528, A1.UG.1997.124727i_164.AY129520, A1.UG.1997.124727i_164.AY129522, A1.UG.1997.124727i_164.AY129524, A1.UG.1997.124727i_164.AY129521, A1.UG.1997.164.AY435390, A1.UG.1997.124727i_164.AY129525, A1.UG.1997.164.DQ230340, A1.UG.1997.164.AF388070, A1.UG.1997.124727i_164.AY129526, A1.UG.1997.124727i_164.AY129529, A1.UG.1997.124727i_164.AY129523, A1.UG.1997.164.DQ230338, A1.UG.1997.124727i_164.AY129527, A1.UG.1997.164.AY428678]	0.705	0.04310344827586207
56	2	2	[A1.UG.2002.AMU015.KJ906637, A1.UG.2006.MBA1100.KJ906800]	0.763	0.028735632183908046
57	2	2	[A1.UG.2009.5922.JN393299, A1.UG.2002.AMU038.KJ906658]	0.858	0.028735632183908046
58	3	3	[A1.UG.2007.MBA1259.KJ906952, A1.UG.2002.TC022204.DQ079832, A1.UG.2008.HIV100771.JN132243]	0.87	0.034482758620689655
59	2	2	[A1.UG.2004.301V04003733.GU059321, A1.UG.2007.MBA1354.KJ907040]	0.79	0.034482758620689655
60	2	2	[A1.UG.1997.771.AY435361, A1.UG.2008.CP076303081.HQ995258]	0.758	0.02586206896551724
61	2	2	[A1.UG.2004.301V04003895.GU059322, A1.UG.2004.301V04003959BM.GU059323]	0.897	0.022988505747126436
62	3	3	[A1.UG.2007.MBA1284.KJ906975, A1.UG.2008.HIV101943.JN132289, A1.UG.2008.MBA1437.KJ907119]	0.727	0.028735632183908046
63	5	5	[A1.UG.2008.MBA1369.KJ907055, A1.UG.2008.MBA1393.KJ907079, A1.UG.1998.07_156956.FJ389076, A1.UG.1992.92UG_029.AY713407, A1.UG.2008.CP076300881.HQ994964]	0.906	0.040229885057471264
64	2	2	[A1.UG.2009.AICPS107.HQ702634, A1.UG.2010.596.KC018971]	0.707	0.022988505747126436
65	3	3	[A1.UG.2008.CP076301942.HQ995408, A1.UG.2008.CP076302957.HQ995045, A1.UG.2008.CP076303057.HQ995238]	0.778	0.04310344827586207
66	4	4	[A1.UG.2008.CP076300711.HQ995313, A1.UG.2007.MBA1319.KJ907008, A1.UG.2007.MBA1349.KJ907035, A1.UG.2008.CP076301998.HQ995016]	0.82	0.03735632183908046
67	2	2	[A1.UG.2004.301V04002129.GU059311, A1.UG.2004.301V04002157BM.GU059312]	0.878	0.014367816091954023
68	5	5	[A1.UG.1997.792.AF388127, A1.UG.1997.820.AY435366, A1.UG.1997.69.AY435238, A1.UG.2004.436547_D.HM037827, A1.UG.2007.MBA1219.KJ906914]	0.777	0.04310344827586207
69	3	3	[A1.UG.2005.MBA1017.KJ906721, A1.UG.1997.589.AY435304, A1.UG.2008.CP076300867.HQ995126]	0.847	0.034482758620689655
70	2	2	[A1.UG.2006.MBA1085.KJ906785, A1.UG.2009.405.KC018790]	0.828	0.028735632183908046
71	2	2	[A1.UG.2008.CP076301801.HQ994976, A1.UG.2008.CP076301808.JN630964]	0.832	0.040229885057471264
72	2	2	[A1.UG.2006.IAEM043.EU306772, A1.UG.2008.MBA1433.KJ907116]	0.764	0.02586206896551724
73	3	3	[A1.UG.1997.225.AY435248, A1.UG.2007.MBA1208.KJ906905, A1.UG.2008.CP076301900.HQ995379]	0.78	0.034482758620689655
74	4	4	[A1.UG.1997.545.AY435393, A1.UG.1997.545.AF388148, A1.UG.1997.545.AY428691, A1.UG.1997.545.DQ230344]	0.97	0.034482758620689655
75	2	2	[A1.UG.2008.CP076302936.HQ995215, A1.UG.2008.HIV101878.JN132285]	0.942	0.04310344827586207
76	3	3	[A1.UG.2010.KND43_540041772202.JQ625638, A1.UG.1997.871.AF388166, A1.UG.1997.871.AY428732]	0.76	0.03735632183908046
77	2	2	[A1.UG.2006.IAEM039.EU306769, A1.UG.2008.CP076302073.HQ995033]	0.757	0.02586206896551724
78	3	3	[A1.UG.1997.652.AY428706, A1.UG.1997.672.AY435337, A1.UG.1997.652.AF388108]	0.797	0.022988505747126436
79	2	2	[A1.UG.2005.MBA1008.KJ906713, A1.UG.2005.MBA1012.KJ906717]	0.958	0.031609195402298854
80	3	3	[A1.UG.1990.UG275.AF447846, A1.UG.1997.403.AY435280, A1.UG.2008.CP076301944.HQ995409]	0.737	0.017241379310344827
81	2	2	[A1.UG.2005.P0218_130705.EF186146, A1.UG.2010.39.KC018778]	0.877	0.031609195402298854
82	2	2	[A1.UG.1997.401.AF388075, A1.UG.2007.MBA1234.KJ906928]	0.76	0.028735632183908046
83	2	2	[A1.UG.2002.AMU051.KJ906671, A1.UG.2008.HIV100731.JN132242]	0.856	0.031609195402298854
84	2	2	[A1.UG.2007.MBA1238.KJ906932, A1.UG.2004.338325_D.HM037817]	0.791	0.034482758620689655
85	3	3	[A1.UG.2010.AICPS438.HQ702638, A1.UG.2008.CP076303094.HQ995271, A1.UG.2008.HIV102945.JN132323]	0.874	0.034482758620689655
86	2	2	[A1.UG.2005.MBA1053.KJ906754, A1.UG.2005.MBA1053_201005.EF186218]	0.98	0.008620689655172414
87	3	3	[A1.UG.2008.CP076302076.HQ995035, A1.UG.1997.4.AY435224, A1.UG.2007.MBA1309.KJ906998]	0.757	0.034482758620689655
88	2	2	[A1.UG.2005.MBA1028.KJ906731, A1.UG.2005.MBA1028_230805.EF186207]	0.854	0.017241379310344827
89	4	4	[A1.UG.2009.MBA1484.KJ907161, A1.UG.2007.MBA1267.KJ906960, A1.UG.2009.386.KC018775, A1.UG.2009.DEMA109UG001.KF716478]	0.869	0.031609195402298854
90	9	9	[A1.UG.2007.MBA1199.KJ906896, A1.UG.2008.CP076300857.HQ995121, A1.UG.2008.CP076301997.HQ995181, A1.UG.2004.341569_X.HM037819, A1.UG.2006.509635_D.HM037900, A1.UG.2005.425113_S.HM037888, A1.UG.2002.AMU022.KJ906642, A1.UG.1998.08_102864.FJ389146, A1.UG.2008.MBA1391.KJ907077]	0.712	0.040229885057471264
91	2	2	[A1.UG.2008.CP076300813.HQ995105, A1.UG.2008.CP076300823.HQ994951]	0.759	0.040229885057471264
92	2	2	[A1.UG.1997.761.AY435353, A1.UG.2008.CP076302772.HQ995211]	0.77	0.031609195402298854
93	4	4	[A1.UG.2008.MBA1384.KJ907070, A1.UG.2001.TC011303.DQ079841, A1.UG.1997.744.AY435358, A1.UG.2009.MBA1501.KJ907177]	0.807	0.040229885057471264
94	3	3	[A1.UG.2010.JCRMARCH007_500.KX073740, A1.UG.2006.304.KC018694, A1.UG.2006.MBA1130.KJ906828]	0.773	0.022988505747126436
95	2	2	[A1.UG.2005.H0534_1.JN652196, A1.UG.2008.CP076300803.HQ995362]	0.756	0.02586206896551724
96	2	2	[A1.UG.2007.MBA1198.KJ906895, A1.UG.2008.CP076300783.HQ995348]	0.757	0.034482758620689655
97	3	3	[A1.UG.1997.653.AF388109, A1.UG.2005.MBA1025.KJ906728, A1.UG.2005.MBA1025_180805.EF186206]	0.867	0.03735632183908046
98	2	2	[A1.UG.2004.301V04005942.GU059337, A1.UG.2004.301V04005975BM.GU059338]	0.94	0.008620689655172414
99	3	3	[A1.UG.2010.7518HR.JF800211, A1.UG.2008.CP076302074.JN630981, A1.UG.2008.HIV100812.JN132247]	0.709	0.04310344827586207
100	4	4	[A1.UG.2007.CP076304882.JQ480244, A1.UG.2008.CP076302072.HQ995032, A1.UG.2007.CP076304779.JQ480236, A1.UG.2007.CP076305011.JQ480251]	0.767	0.040229885057471264
101	2	2	[A1.UG.2009.KMG4_500012352202.JQ625654, A1.UG.2004.332768_D.HM037849]	0.763	0.03735632183908046
102	3	3	[A1.UG.2005.MBA1011.KJ906716, A1.UG.2007.CP076305804.JQ480256, A1.UG.2008.CP076302924.HQ995482]	0.894	0.034482758620689655
103	2	2	[A1.UG.2006.IAEM078.EU306794, A1.UG.2008.CP076300716.HQ994922]	0.876	0.04310344827586207
104	2	2	[A1.UG.2007.MBA1278.KJ906969, A1.UG.2006.MBA1143.KJ906841]	0.726	0.03735632183908046
105	5	5	[A1.UG.1997.560.AY435303, A1.UG.1997.453.AF388081, A1.UG.1997.453.AY428686, A1.UG.2008.CP076300890.HQ995139, A1.UG.2008.CP076302061.HQ995024]	0.744	0.03735632183908046
106	2	2	[A1.UG.2006.IAEM056.EU306779, A1.UG.2008.29.KC018680]	0.949	0.022988505747126436
107	2	2	[A1.UG.2007.MBA1351.KJ907037, A1.UG.2008.CP076303009.HQ995074]	0.778	0.022988505747126436
108	2	2	[A1.UG.2007.MBA1221.KJ906916, A1.UG.2009.AICPS165.HQ702670]	0.899	0.04310344827586207
109	2	2	[A1.UG.2004.301V04002594.GU059313, A1.UG.2004.301V04002668BM.GU059314]	0.971	0.011494252873563218
110	2	2	[A1.UG.2008.HIV102999.JN132335, A1.UG.2009.4854.JN393298]	0.914	0.04310344827586207
111	2	2	[A1.UG.2009.RCC_TDR_482363.JQ266065, A1.UG.2009.RCC_TDR_482400.JQ266059]	0.973	0.0028735632183908046
112	2	2	[A1.UG.2001.TC010603.DQ079844, A1.UG.2008.MBA1439.KJ907121]	0.837	0.031609195402298854
113	2	2	[A1.UG.2008.CP076302009.HQ995185, A1.UG.2008.MBA1422.KJ907107]	0.829	0.040229885057471264
114	4	4	[A1.UG.2008.CP076300723.HQ994926, A1.UG.2010.56.KC018935, A1.UG.2008.CP076300847.HQ995114, A1.UG.2008.CP076302054.HQ995204]	0.79	0.04310344827586207
115	2	2	[A1.UG.2008.CP076303002.HQ995070, A1.UG.2008.CP076303038.HQ995223]	0.851	0.017241379310344827
116	2	2	[A1.UG.2004.320477_T.HM037840, A1.UG.2007.MBA1321.KJ907010]	0.772	0.02586206896551724
117	2	2	[A1.UG.2008.CP076301966.HQ995430, A1.UG.2009.MBA1485.KJ907162]	0.827	0.040229885057471264
118	4	4	[A1.UG.2008.CP076302925.HQ995483, A1.UG.2009.AICPS335.HQ702633, A1.UG.2007.CP076305017.JQ480252, A1.UG.2008.CP076300811.HQ994945]	0.908	0.040229885057471264
119	2	2	[A1.UG.2008.CP076300714.HQ995316, A1.UG.2008.CP076302905.HQ995474]	0.996	0.0028735632183908046
120	4	4	[A1.UG.2009.AICPS336.HQ702650, A1.UG.2009.J0722_2.JN652210, A1.UG.2006.J7227_B.JN652166, A1.UG.2008.J7227_1.JN652202]	0.968	0.02586206896551724
121	2	2	[A1.UG.2008.CP076300878.HQ995133, A1.UG.2008.MBA1473.KJ907151]	0.831	0.04310344827586207
122	2	2	[A1.UG.1997.839.AY435379, A1.UG.2008.CP076302954.HQ995217]	0.837	0.04310344827586207
123	3	3	[A1.UG.2003.03_9412NS.AY803472, A1.UG.2007.MBA1206.KJ906903, A1.UG.2007.MBA1297.KJ906987]	0.871	0.03735632183908046
124	2	2	[A1.UG.2007.MBA1246.KJ906940, A1.UG.2007.MBA1291.KJ906982]	0.782	0.028735632183908046
125	2	2	[A1.UG.2008.CP076301865.HQ995173, A1.UG.2008.CP076303020.HQ995084]	0.945	0.014367816091954023
126	2	2	[A1.UG.2007.9004SS_B1.JX202934, A1.UG.2008.CP076302035.HQ995459]	0.76	0.02586206896551724
127	5	5	[A1.UG.2008.MBA1403.KJ907088, A1.UG.2010.JCRMARCH017_6.KX073712, A1.UG.2010.JCRMARCH017_12.KX073718, A1.UG.2010.JCRMARCH017_0.JX181984, A1.UG.2001.01_300NG.AY803462]	0.771	0.031609195402298854
128	2	2	[A1.UG.2004.436546_P.HM037826, A1.UG.2005.MBA1002.KJ906707]	0.779	0.040229885057471264
129	2	2	[A1.UG.2009.UGNTC737.HQ702685, A1.UG.1998.98UG57142.AF484512]	0.781	0.031609195402298854
130	2	2	[A1.UG.2008.CP076300707.HQ994920, A1.UG.1997.754.AY435355]	0.719	0.03735632183908046
131	2	2	[A1.UG.1998.07_156979.FJ389085, A1.UG.1998.08_101521.FJ389115]	0.948	0.011494252873563218
132	3	3	[A1.UG.1997.757.AY435356, A1.UG.2005.MBA1007.KJ906712, A1.UG.1997.584.AF388096]	0.865	0.02586206896551724
133	2	2	[A1.KE.2009.KMR23_530019872202.JQ625605, A1.KE.2009.LDV154_530020342202.JQ625616]	0.967	0.0028735632183908046
134	2	2	[A1.UG.1997.704.AF388115, A1.UG.1997.704.AY428710]	0.911	0.0028735632183908046
135	3	3	[A1.UG.1997.209.AY435256, A1.UG.2002.AMU007.KJ906631, A1.UG.2009.NTCPS702.HQ702664]	0.754	0.040229885057471264
136	2	2	[A1.UG.2007.MBA1215.KJ906911, A1.UG.2008.CP076303033.HQ995095]	0.83	0.017241379310344827
137	2	2	[A1.KE.2006.06KE196199V6.KT022378, A1.KE.2011.KE12037.KP877944]	0.758	0.040229885057471264
138	4	4	[A1.UG.2004.362487_R.HM037860, A1.UG.2008.CP076301879.HQ995176, A1.UG.2008.CP076302944.HQ995043, A1.UG.2007.MBA1240.KJ906934]	0.77	0.031609195402298854
139	2	2	[A1.RW.2007.407.KC018792, A1.RW.2009.235.KC018627]	0.744	0.031609195402298854
140	2	2	[A1.TZ.2005.TMS341.EU251876, A1.TZ.2006.7118856.KP681712]	0.784	0.02586206896551724
141	9	9	[A1.UG.2008.CP076300715.HQ995317, A1.UG.2007.MBA1218.KJ906913, A1.UG.2010.JCRMARCH066_0.JX181991, A1.UG.2009.AICPS303.HQ702651, A1.UG.2008.CP076302044.HQ995199, A1.UG.2008.CP076302077.HQ995209, A1.UG.2008.CP076300794.HQ995357, A1.UG.1997.440.AF388079, A1.UG.2004.439552_J.HM037829]	0.784	0.04310344827586207
142	2	2	[A1.UG.2008.CP076302996.HQ995222, A1.UG.2008.HIV102971.JN132329]	0.936	0.0
143	2	2	[A1.UG.1997.742.AF388120, A1.UG.1997.742.AY428718]	0.866	0.020114942528735632
144	2	2	[A1.UG.1999.99UGG03379.AF484493, A1.UG.2004.427986_C.HM037874]	0.762	0.022988505747126436
145	2	2	[A1.UG.2003.301V03000981BM.GU059288, A1.UG.2003.301V03000985.GU059289]	0.888	0.011494252873563218
146	2	2	[A1.UG.2008.CP076303107.HQ995283, A1.UG.2008.CP076303126.HQ995300]	0.866	0.031609195402298854
147	2	2	[A1.RW.2008.446HENN.KC841696, A1.RW.2008.446HM12.KC841697]	0.738	0.008620689655172414
148	3	3	[A1.RW.2006.704.KC019062, A1.RW.2005.105-7292.JQ364515, A1.RW.2005.7292-PD.KC513704]	0.767	0.028735632183908046
149	5	5	[A1.KE.2009.KELKN248.JN628511, A1.KE.2006.213.KC018605, A1.KE.2010.144.KC018538, A1.KE.2010.15.KC018544, A1.KE.2006.521.KC018903]	0.763	0.034482758620689655
150	3	3	[A1.UG.2009.NTCPS709.HQ702661, A1.UG.2006.IAEM054.EU306778, A1.UG.2010.6699HR.JF800207]	0.777	0.028735632183908046
151	5	5	[A1.UG.2008.CP076301822.HQ995162, A1.UG.2008.CP076301981.HQ995442, A1.UG.2007.MBA1217.KJ906912, A1.UG.2007.CP076304814.JQ480238, A1.UG.2008.CP076300753.HQ994934]	0.868	0.04310344827586207
152	7	7	[A1.UG.2010.6356HR.JF800205, A1.UG.2006.MBA1080.KJ906780, A1.UG.2008.CP076300895.HQ995141, A1.UG.2008.CP076301866.HQ995001, A1.UG.2007.CP076304915.JQ480247, A1.UG.2008.CP076301862.HQ994998, A1.UG.2008.CP076303022.HQ995086]	0.784	0.04310344827586207
153	5	5	[A1.UG.1998.08_101510.FJ389111, A1.UG.2002.AMU040.KJ906660, A1.UG.2010.028040b_012710.JQ730756, A1.UG.2010.028040p_012710.JQ730810, A1.UG.2010.028041_012710.JQ730798]	0.945	0.031609195402298854
154	3	3	[A1.UG.1997.58.AY435240, A1.UG.2004.326455_J.HM037846, A1.UG.2003.DEMA03UG002.KF716500]	0.869	0.040229885057471264
155	2	2	[A1.UG.2008.CP076302045.JN630978, A1.UG.2004.338135_K.HM037853]	0.774	0.031609195402298854
156	3	3	[A1.RW.1992.92RW025A.AB287376, A1.RW.2008.460HENN.KC841705, A1.RW.2007.701HENN.KC841726]	0.772	0.034482758620689655
157	3	3	[A1.KE.1999.99KE579.AY492780, A1.KE.2005.CCP_081.FJ599399, A1.KE.2012.MK61.KP792055]	0.779	0.04310344827586207
158	2	2	[A1.BI.2007.201_4414.HG780616, A1.BI.2007.102_1047.HG780783]	0.772	0.014367816091954023
159	3	3	[A1.TZ.2008.111125.KM438258, A1.TZ.2005.Read35_HIV_A1.KX228815, A1.TZ.2005.TMS319.EU251865]	0.763	0.04310344827586207
160	4	4	[A1.TZ.2005.A1.TZ.2005.177B-22-03.KF531064, A1.TZ.2005.A1.TZ.2005.177B-11-03.KF531063, A1.TZ.2005.A1.TZ.2005.177B-07-20.KF531059, A1.TZ.2005.A1.TZ.2005.177B-22-20.KF531062]	0.98	0.017241379310344827
