** Cluster Picker Results **
Input sequences =	/home/david/Dropbox/Niyukuri/EAC_Phylogenetic/2020_raw_data/EAC_HIV_1_C.fas
Input tree =	/home/david/Dropbox/Niyukuri/EAC_Phylogenetic/2020_raw_data/EAC_HIV_1_C.fas.nwk
Initial support threshold=	0.8
Support threshold=	0.7
Genetic distance threshold=	0.045
Large cluster threshold=	2
-------------------------
** Sequences with cluster assignment output with new names
** Tree modified to contain new names
** new names have form: Clust(C)_(SequenceName) where C = cluster number, e.g. Clust25_139320
-------------------------
Output sequences =	/home/david/Dropbox/Niyukuri/EAC_Phylogenetic/2020_raw_data/EAC_HIV_1_C_EAC_HIV_1_C.fas_clusterPicks.fas
Output tree=	/home/david/Dropbox/Niyukuri/EAC_Phylogenetic/2020_raw_data/EAC_HIV_1_C.fas_clusterPicks.nwk
Output figtree=	/home/david/Dropbox/Niyukuri/EAC_Phylogenetic/2020_raw_data/EAC_HIV_1_C.fas_clusterPicks.nwk.figTree
-------------------------
There are	893	sequences
Tree has	893	tips
Found	137	clusters
ClusterNumber	NumberOfTips	NumberOfTipsCheck	TipNames	Bootstrap	GD
22	3	3	[C.TZ.2013.13787.KY747329, C.UG.2007.653.KC019019, C.TZ.2008.109260.KM438244]	0.793	0.038834951456310676
23	4	4	[C.TZ.2005.C.TZ.2005.276B-26-21.KF531146, C.TZ.2005.C.TZ.2005.276B-16-21.KF531144, C.TZ.2005.C.TZ.2005.276B-30-21.KF531147, C.TZ.2005.C.TZ.2005.276B-47-24.KF531153]	0.938	0.025889967637540454
24	2	2	[C.TZ.1996.6874.AY036329, C.TZ.1996.6874.AY036330]	0.99	0.009708737864077669
25	3	3	[C.TZ.1996.6774.AY036326, C.TZ.1996.6774.AY036325, C.TZ.1996.6774.AY036328]	0.899	0.019417475728155338
26	2	2	[C.UG.2010.6320901_res.JX499012, C.TZ.2006.07010100012024.KP681798]	0.773	0.03559870550161812
27	6	6	[C.TZ.1996.9002.AY036379, C.TZ.1996.9002.AY036380, C.TZ.1996.9002.AY036377, C.TZ.1996.9002.AY036378, C.TZ.1996.9002.AY036381, C.TZ.1996.9002.AY036382]	0.997	0.019417475728155338
28	3	3	[C.TZ.2006.731782282686.KP681782, C.TZ.2006.0731814182727.KP681784, C.TZ.2006.07318141827271.KP681769]	0.992	0.012944983818770227
29	2	2	[C.TZ.2005.CO0053V5.KX907338, C.TZ.2009.TZ_09_032647_C.HM572411]	0.896	0.032362459546925564
30	2	2	[C.TZ.1996.7054.AY036406, C.TZ.1996.7054.AY036407]	0.957	0.003236245954692557
31	3	3	[C.TZ.1996.9008.AY036391, C.TZ.1996.9008.AY036392, C.TZ.1996.9008.AY036393]	0.936	0.006472491909385114
32	2	2	[C.TZ.1996.6678.AY036397, C.TZ.1996.6678.AY036398]	0.963	0.025889967637540454
33	4	4	[C.TZ.2005.C.TZ.2005.322b-11-31.KF531189, C.TZ.2005.C.TZ.2005.322B-36-26.KF531186, C.TZ.2005.C.TZ.2001.322B-29-31.KF531191, C.TZ.2005.C.TZ.2005.322B-35-31.KF531192]	0.94	0.03559870550161812
34	3	3	[C.TZ.1998.98TZ017.AF286235, C.TZ.1997.97TZ04.AF361874, C.TZ.2009.TZ.HLM.008.KC537232]	0.94	0.038834951456310676
35	2	2	[C.UG.1997.681.AF388154, C.UG.1990.UG268.AF447844]	0.928	0.038834951456310676
36	4	4	[C.TZ.2005.TBK086.EU251769, C.CD.2007.C_07CD2845.FR666642, C.RW.2005.105-8222.JQ364537, C.RW.2005.8222-PD.KC513726]	0.747	0.042071197411003236
37	2	2	[C.TZ.2006.0791312780057.KP681786, C.TZ.2006.07913127800571.KP681774]	0.988	0.006472491909385114
38	4	4	[C.TZ.2004.S74Pol.JQ071491, C.TZ.2007.TZ_08_017188_C.HM572409, C.RW.2009.486.KC018871, C.TZ.2005.TBK009.EU251721]	0.767	0.038834951456310676
39	3	3	[C.UG.2010.MBAMARCH059_6.KX073716, C.UG.2010.MBAMARCH059_0.JX182021, C.UG.2010.MBAMARCH059_24.KX073746]	0.978	0.012944983818770227
40	2	2	[C.UG.2005.DT3548_05_P1.GQ409622, C.UG.2009.NTCPS708.HQ702662]	0.74	0.03559870550161812
41	2	2	[C.UG.2008.311.KC018702, C.TZ.2005.TMS102.EU251807]	0.81	0.02912621359223301
42	2	2	[C.CD.2002.02CD_LBS048.AM041002, C.CD.2007.C_07CD0729.FR666658]	0.889	0.032362459546925564
43	2	2	[C.TZ.2013.14531.KY747346, C.TZ.2013.14836.KY747349]	0.984	0.006472491909385114
44	3	3	[C.TZ.2009.41089.KM458608, C.UG.2010.159.KC018556, C.RW.2008.736HENN.KC841757]	0.848	0.03559870550161812
45	2	2	[C.TZ.1996.6584.AY036395, C.TZ.1996.6584.AY036396]	0.992	0.006472491909385114
46	2	2	[C.UG.1997.840.AY435369, C.UG.2008.CP076303112.HQ995288]	0.834	0.042071197411003236
47	2	2	[C.UG.1997.823.AF388161, C.TZ.2009.TZ_10_003312_C.HM572403]	0.76	0.038834951456310676
48	18	18	[C.TZ.2005.C.TZ.2005.498B-05-12.KF531296, C.TZ.2005.C.TZ.2005.498B-11-15.KF531300, C.TZ.2005.C.TZ.2005.498B-07-09.KF531297, C.TZ.2005.C.TZ.2005.498B-12-14.KF531301, C.TZ.2005.C.TZ.2005.498B-24-07.KF531308, C.TZ.2005.C.TZ.2005.498B-04-13.KF531295, C.TZ.2005.C.TZ.2005.498B-18-15.KF531304, C.TZ.2005.C.TZ.2005.498B-41-14.KF531312, C.TZ.2005.C.TZ.2005.498B-20-07.KF531305, C.TZ.2005.C.TZ.2005.498B-43-14.KF531313, C.TZ.2005.C.TZ.2005.498B-14-13.KF531302, C.TZ.2005.C.TZ.2005.498B-22-09.KF531306, C.TZ.2005.C.TZ.2005.498B-09-14.KF531299, C.TZ.2005.C.TZ.2005.498B-04-09.KF531294, C.TZ.2005.C.TZ.2005.498B-28-12.KF531309, C.TZ.2005.C.TZ.2005.498B-02-07.KF531293, C.TZ.2005.C.TZ.2005.498B-16-12.KF531303, C.TZ.2005.C.TZ.2005.498B-36-14.KF531311]	0.909	0.025889967637540454
49	3	3	[C.TZ.2005.C.TZ.2005.171B-10-22.KF531057, C.TZ.2005.C.TZ.2005.171B-09-22.KF531056, C.TZ.2005.C.TZ.2005.171B-12-27.KF531054]	0.856	0.016181229773462782
50	3	3	[C.TZ.2005.C.TZ.2005.171B-03-22.KF531055, C.TZ.2005.C.TZ.2005.171B-06-27.KF531053, C.TZ.2005.C.TZ.2005.171B-23-21.KF531058]	0.769	0.022653721682847898
51	2	2	[C.UG.2008.CP076303066.HQ995246, C.UG.2008.HIV102997.JN132333]	0.966	0.009708737864077669
52	2	2	[C.TZ.2005.TBK052.EU251746, C.TZ.2013.14100.KY747338]	0.859	0.038834951456310676
53	2	2	[C.TZ.2006.0791563880412.KP681797, C.TZ.2006.7216029.KP681723]	0.961	0.003236245954692557
54	2	2	[C.TZ.2005.TBK096.EU251778, C.TZ.2009.118234.KM438311]	0.776	0.025889967637540454
55	2	2	[C.TZ.2005.TBK077.EU251764, C.RW.2008.749HENN.KC841762]	0.768	0.03559870550161812
56	2	2	[C.RW.2008.721HENN.KC841744, C.RW.2009.721HM12.KC841745]	0.912	0.009708737864077669
57	3	3	[C.TZ.1996.6657.AY036315, C.TZ.1996.6657.AY036316, C.TZ.1996.6657.AY036317]	1.0	0.009708737864077669
58	2	2	[C.UG.2004.301V04001965.GU059309, C.UG.2004.301V04001980BM.GU059310]	0.763	0.006472491909385114
59	2	2	[C.UG.2005.16740D_P1.GQ409590, C.TZ.2005.CO6647V5.KX907416]	0.904	0.019417475728155338
60	2	2	[C.UG.1997.73.AF388136, C.UG.1997.73.AY435389]	0.999	0.006472491909385114
61	3	3	[C.UG.2002.TC023004.DQ079829, C.UG.2008.CP076301973.HQ995437, C.UG.2008.CP076302084.HQ995037]	0.978	0.009708737864077669
62	2	2	[C.TZ.2005.TBK049.EU251744, C.TZ.2012.1st_38.KX775243]	0.836	0.038834951456310676
63	2	2	[C.TZ.2005.TMS028.EU251802, C.TZ.2013.15207.KY747353]	0.768	0.042071197411003236
64	2	2	[C.TZ.2005.TBK075.EU251762, C.TZ.2013.14047.KY747337]	0.777	0.02912621359223301
65	2	2	[C.UG.2010.6667HR.JF800209, C.TZ.2009.TZ_10_002726_C.HM572402]	0.759	0.038834951456310676
66	2	2	[C.BI.2007.102_1067.HG780815, C.BI.2007.201_4116.HG780705]	0.788	0.03559870550161812
67	2	2	[C.BI.2007.102_1108.HG780746, C.BI.2007.201_1602.HG780623]	0.731	0.042071197411003236
68	11	11	[C.UG.2008.CP076300801.HQ994940, C.TZ.2005.TMS101.EU251806, C.UG.2009.MBA1497.KJ907174, C.TZ.2005.C.TZ.2005.066B-13-18.KF530991, C.TZ.2005.C.TZ.2005.066B-26-19.KF530997, C.TZ.2005.C.TZ.2005.066B-05-11.KF530988, C.TZ.2005.C.TZ.2005.066B-17-11.KF530995, C.TZ.2005.C.TZ.2005.066B-25-12.KF530996, C.TZ.2005.C.TZ.2005.066B-17-10.KF530994, C.UG.2005.MBA1004.KJ906709, C.UG.2006.MBA1095.KJ906795]	0.851	0.038834951456310676
69	3	3	[C.BI.2002.02BU_U2233.AM260242, C.BI.2007.201_1766.HG780660, C.BI.2002.02BU_B1048.AM260262]	0.826	0.025889967637540454
70	3	3	[C.BI.2007.102_1120.HG780766, C.BI.2007.201_077.HG780656, C.BI.2007.201_1629.HG780737]	0.835	0.02912621359223301
71	2	2	[C.BI.2002.02BU_U1605.AM260314, C.BI.2002.02BU_U2417.AM260245]	0.756	0.022653721682847898
72	3	3	[C.TZ.2005.C.TZ.2005.080B-14-15.KF531004, C.TZ.2005.C.TZ.2005.0805-12-15.KF531003, C.TZ.2005.C.TZ.2005.080B-09-15.KF531001]	0.957	0.006472491909385114
73	6	6	[C.BI.2007.201_4318.HG780647, C.BI.2002.02BU_SF426.AM260274, C.BI.2002.02BU_U0705.AM260288, C.BI.2002.02BU_U0221.AM260279, C.BI.2007.102_1157.HG780827, C.BI.2007.102_1105.HG780814]	0.85	0.038834951456310676
74	7	7	[C.BI.2002.02BU_U0434.AM260283, C.BI.2002.02BU_SF302.AM260273, C.BI.2007.102_1113.HG780777, C.BI.2007.201_4050.HG780725, C.BI.2002.02BU_SF621.AM260277, C.BI.2002.02BU_U2234.AM260243, C.BI.2007.201_1841.HG780657]	0.805	0.042071197411003236
75	2	2	[C.KE.2007.CP076304255.HQ993943, C.KE.2007.CP076305323.JQ480185]	0.956	0.016181229773462782
76	2	2	[C.BI.2007.102_1127.HG780834, C.BI.2007.201_4373.HG780641]	0.832	0.038834951456310676
77	2	2	[C.BI.2007.102_1242.HG780847, C.BI.2007.201_1894.HG780732]	0.708	0.038834951456310676
78	2	2	[C.BI.2002.02BU_U1506.AM260310, C.BI.2007.201_1720.HG780643]	0.867	0.042071197411003236
79	2	2	[C.BI.2007.201_1854.HG780718, C.BI.2007.201_410.HG780716]	0.792	0.019417475728155338
80	2	2	[C.BI.2007.102_1048.HG780807, C.BI.2002.02BU_SF428.AM260275]	0.762	0.032362459546925564
81	2	2	[C.KE.2012.MK14.KP792008, C.KE.2012.MK35.KP792029]	0.886	0.02912621359223301
82	2	2	[C.KE.2008.120.KC018516, C.KE.2012.MK04.KP791998]	0.994	0.032362459546925564
83	2	2	[C.BI.2007.102_1100.HG780764, C.BI.2007.201_1463.HG780622]	0.768	0.042071197411003236
84	2	2	[C.BI.2007.201_1552.HG780651, C.BI.2007.201_1645.HG780859]	0.759	0.038834951456310676
85	2	2	[C.BI.2002.02BU_U1817.AM260226, C.BI.2007.102_1003.HG780852]	0.707	0.032362459546925564
86	2	2	[C.BI.2002.02BU_U0808.AM260294, C.BI.2002.02BU_U1005.AM260302]	0.75	0.038834951456310676
87	3	3	[C.BI.2007.201_1948.HG780709, C.BI.2002.02BU_U0832.AM260300, C.BI.2007.201_1640.HG780697]	0.781	0.025889967637540454
88	2	2	[C.BI.2007.102_1151.HG780769, C.BI.2007.102_1065.HG780825]	0.73	0.022653721682847898
89	2	2	[C.KE.2012.MK68.KP792062, C.KE.2006.KTL195.KC517051]	0.741	0.042071197411003236
90	3	3	[C.KE.1998.98KE384.AY492764, C.KE.2006.SNH041.KC516987, C.KE.2006.SNH074.KC516954]	0.776	0.03559870550161812
91	2	2	[C.KE.2007.CP076302223.HQ993813, C.KE.2007.CP076304233.HQ993927]	0.857	0.032362459546925564
92	2	2	[C.BI.2007.102_1147.HG780798, C.BI.2007.201_1549.HG780730]	0.704	0.009708737864077669
93	2	2	[C.BI.2002.02BU_U2515.AM260246, C.BI.2002.02BU_B1100.AM260270]	0.825	0.042071197411003236
94	2	2	[C.BI.2007.201_1884.HG780661, C.BI.2007.102_1019.HG780849]	0.755	0.038834951456310676
95	2	2	[C.BI.2007.102_1107.HG780832, C.BI.2007.201_1931.HG780721]	0.802	0.038834951456310676
96	3	3	[C.BI.2007.201_1600.HG780700, C.BI.2007.201_1914.HG780677, C.BI.2007.102_1148.HG780836]	0.715	0.042071197411003236
97	2	2	[C.BI.2002.02BU_U0932.AM260301, C.BI.2007.201_4404.HG780633]	0.847	0.025889967637540454
98	4	4	[C.BI.2007.102_1142.HG780796, C.BI.2007.102_1094.HG780793, C.BI.2002.02BU_U0211.AM260278, C.BI.2007.102_1104.HG780773]	0.853	0.03559870550161812
99	2	2	[C.KE.2007.CP076302278.HQ993831, C.KE.2007.CP076302283.HQ993833]	0.927	0.042071197411003236
100	2	2	[C.BI.2002.02BU_U1507.AM260311, C.BI.2007.201_4274.HG780635]	0.739	0.02912621359223301
101	2	2	[C.BI.2007.102_1273.HG780840, C.BI.2007.201_1497.HG780692]	0.971	0.042071197411003236
102	4	4	[C.BI.2002.02BU_U0710.AM260290, C.BI.2007.201_4365.HG780642, C.BI.2002.02BU_U2201.AM260237, C.BI.2007.201_1762.HG780685]	0.751	0.042071197411003236
103	2	2	[C.KE.2006.KAP007.KC516875, C.KE.2008.HIV102310.JN132305]	0.919	0.03559870550161812
104	2	2	[C.BI.2007.102_1027.HG780780, C.BI.2007.201_4419.HG780617]	0.875	0.042071197411003236
105	2	2	[C.BI.2007.102_1154.HG780799, C.BI.2007.201_4036.HG780706]	0.808	0.038834951456310676
106	2	2	[C.BI.2002.02BU_U1703.AM260318, C.BI.2007.102_1093.HG780784]	0.897	0.022653721682847898
107	2	2	[C.BI.2002.02BU_U3124.AM260256, C.BI.2007.102_1061.HG780829]	0.73	0.042071197411003236
108	2	2	[C.KE.2007.CP076304247.HQ993937, C.KE.2007.CP076304248.HQ993938]	0.923	0.025889967637540454
109	2	2	[C.BI.2007.201_1563.HG780675, C.BI.2007.201_1767.HG780672]	0.754	0.032362459546925564
110	2	2	[C.BI.2002.02BU_U0126.AM260220, C.BI.2007.201_4551.HG780644]	0.736	0.022653721682847898
111	3	3	[C.KE.2012.MK16.KP792010, C.KE.2012.MK67.KP792061, C.KE.2007.CP076301562.JN630894]	0.751	0.042071197411003236
112	2	2	[C.KE.2007.CP076301576.HQ993615, C.KE.2007.CP076301617.HQ993653]	0.946	0.006472491909385114
113	3	3	[C.BI.2002.02BU_SF431.AM260276, C.BI.2002.02BU_U0304.AM260280, C.BI.2002.02BU_U0636.AM260286]	0.923	0.032362459546925564
114	2	2	[C.BI.2002.02BU_U2132.AM260236, C.BI.2007.201_1649.HG780659]	0.746	0.042071197411003236
115	2	2	[C.BI.2002.02BU_U2025.AM260234, C.BI.2007.102_1130.HG780767]	0.772	0.03559870550161812
116	2	2	[C.BI.2007.201_134.HG780663, C.BI.2007.201_280.HG780668]	0.86	0.03559870550161812
117	2	2	[C.KE.2007.CP076304175.HQ993891, C.KE.2008.341.KC018732]	0.906	0.025889967637540454
118	2	2	[C.KE.2004.0_085_KiBS_V16.HM164129, C.KE.2007.CP076301688.HQ993684]	0.805	0.042071197411003236
119	2	2	[C.KE.2012.MK11.KP792005, C.KE.2012.MK30.KP792024]	0.71	0.019417475728155338
120	2	2	[C.BI.2007.201_1702.HG780740, C.BI.2002.02BU_U2118.AM260235]	0.806	0.042071197411003236
121	2	2	[C.BI.2002.02BU_U1305.AM260307, C.BI.2007.201_4398.HG780629]	0.867	0.042071197411003236
122	2	2	[C.BI.2002.02BU_U0813.AM260296, C.BI.2002.02BU_B1040.AM260261]	0.761	0.025889967637540454
123	2	2	[C.BI.2002.02BU_U1930.AM260232, C.BI.2002.02BU_U2202.AM260238]	0.914	0.042071197411003236
124	2	2	[C.KE.2009.NLHG-105.KT370865, C.KE.2011.KE12097.KP877907]	0.919	0.022653721682847898
125	3	3	[C.BI.2002.02BU_U3135.AM260257, C.BI.2002.02BU_U0118.AM260219, C.BI.2002.02BU_U0139.AM260222]	0.787	0.03559870550161812
126	2	2	[C.BI.2002.02BU_U1620.AM260223, C.BI.2007.102_1018.HG780850]	0.99	0.009708737864077669
127	2	2	[C.BI.2002.02BU_U1625.AM260317, C.BI.2007.201_1650.HG780680]	0.777	0.02912621359223301
128	2	2	[C.BI.2002.02BU_SF213.AM260267, C.BI.2007.102_1099.HG780754]	0.864	0.03559870550161812
129	10	10	[C.TZ.2005.C.TZ.2005.201B-11-20.KF531080, C.TZ.2005.C.TZ.2005.201B-02-30.KF531074, C.TZ.2005.C.TZ.2005.201B-05-30.KF531076, C.TZ.2005.C.TZ.2005.201B-01-20.KF531073, C.TZ.2005.C.TZ.2005.201B-07-30.KF531077, C.TZ.2005.C.TZ.2005.201B-12-20.KF531081, C.TZ.2005.C.TZ.2005.201B-09-20.KF531079, C.TZ.2005.C.TZ.2005.201B-08-20.KF531078, C.TZ.2005.C.TZ.2005.201B-14-20.KF531084, C.TZ.2005.C.TZ.2005.201B-04-20.KF531075]	0.999	0.025889967637540454
130	2	2	[C.TZ.2009.TZ_10_002030_C.HM572407, C.TZ.2013.BL_4003.KX775296]	0.735	0.032362459546925564
131	2	2	[C.TZ.2006.791356280099.KP681788, C.TZ.2006.CO3892V6.KX907390]	0.764	0.03559870550161812
132	2	2	[C.TZ.2008.109269.KM438239, C.TZ.2008.112308.KM438291]	0.916	0.025889967637540454
133	6	6	[C.TZ.2005.C.TZ.2005.027B-03-08.KF530909, C.TZ.2005.C.TZ.2005.027B-05-09.KF530911, C.TZ.2005.C.TZ.2005.027B-12-09.KF530914, C.TZ.2005.C.TZ.2005.027B-29-09.KF530922, C.TZ.2005.C.TZ.2005.027B-09-09.KF530913, C.TZ.2005.C.TZ.2005.027B-18-09.KF530919]	0.873	0.032362459546925564
134	10	10	[C.TZ.2005.C.TZ.2005.471B-11-16.KF531199, C.TZ.2005.C.TZ.2005.471B-35-17.KF531207, C.TZ.2005.C.TZ.2005.471B-10-16.KF531198, C.TZ.2005.C.TZ.2005.471B-03-17.KF531197, C.TZ.2005.C.TZ.2005.471B-12-16.KF531200, C.TZ.2005.C.TZ.2005.471B-14-17.KF531201, C.TZ.2005.C.TZ.2005.471B-20-17.KF531202, C.TZ.2005.C.TZ.2005.471B-46-17.KF531209, C.TZ.2005.C.TZ.2005.471B-21-16.KF531203, C.TZ.2005.C.TZ.2005.471B-33-17.KF531206]	0.997	0.012944983818770227
135	9	9	[C.TZ.2005.C.TZ.2005.027b-27-09.KF530921, C.TZ.2005.C.TZ.2005.027B-20-09.KF530920, C.TZ.2005.C.TZ.2005.027b-13-09.KF530915, C.TZ.2005.C.TZ.2005.027b-07-08.KF530912, C.TZ.2005.C.TZ.2005.027B-05-08.KF530910, C.TZ.2005.C.TZ.2005.027b-15-09.KF530916, C.TZ.2005.C.TZ.2005.027B-18-08.KF530918, C.TZ.2005.C.TZ.2005.027B-39-09.KF530925, C.TZ.2005.C.TZ.2005.027B-33-09.KF530923]	0.962	0.025889967637540454
136	12	12	[C.TZ.2005.C.TZ.2005.968B-20-29..KF531521, C.TZ.2005.C.TZ.2005.968B-01-08.KF531507, C.TZ.2005.C.TZ.2005.968B-13-08.KF531513, C.TZ.2005.C.TZ.2005.968B-14-29.KF531515, C.TZ.2005.C.TZ.2005.968B-13-29.KF531514, C.TZ.2005.C.TZ.2005.968B-05-08.KF531508, C.TZ.2005.C.TZ.2005.968B-17-08.KF531518, C.TZ.2005.C.TZ.2005.968B-09-08.KF531512, C.TZ.2005.C.TZ.2005.968B-08-08.KF531509, C.TZ.2005.C.TZ.2005.968B-19-30.KF531519, C.TZ.2005.C.TZ.2005.968B-04-30.KF531510, C.TZ.2005.C.TZ.2005.968B-15-08.KF531517]	0.972	0.025889967637540454
137	2	2	[C.TZ.2004.S63Pol.JQ071483, C.TZ.2008.112307.KM438290]	0.875	0.038834951456310676
-------------------------
