"","V1","V2"
"237","5.236.C","4.7517009159"
"238","5.237.C","6.9526773543"
"239","5.238.C","11.0664079143"
"240","5.239.C","9.0768443941"
"241","5.240.C","11.2117790807"
"242","5.241.C","8.4651451884"
"243","5.242.C","8.8096060168"
"244","5.243.C","5.6031899074"
"245","5.244.C","7.7142167695"
"246","5.245.C","8.0335210581"
"247","5.246.C","10.898574332"
"248","5.247.C","0.933248884100003"
"249","5.248.C","9.8442528093"
"250","5.249.C","9.3962796842"
"251","5.250.C","5.9111090217"
"252","5.251.C","8.5246456006"
"253","5.252.C","12.5541193746"
"254","5.253.C","3.7203182079"
"255","5.254.C","6.2437030869"
"256","5.255.C","6.5143360966"
"257","5.256.C","8.6004200285"
"258","5.257.C","6.4192553474"
"259","5.258.C","6.8860443237"
"260","5.259.C","7.6243659023"
"261","5.260.C","10.4032768008"
"262","5.261.C","9.7665511474"
"263","5.262.C","10.9947452233"
"264","5.263.C","5.1192349793"
"265","5.264.C","6.7963953977"
"266","5.265.C","9.9245720362"
"267","5.266.C","13.410200921"
"268","5.267.C","5.3479041376"
"269","5.268.C","6.583488458"
"270","5.269.C","9.1168781698"
"271","5.270.C","10.0727826353"
"272","5.271.C","10.5212817342"
"273","5.272.C","9.7418399845"
"274","5.273.C","8.7089043198"
"275","5.274.C","10.1370813575"
"276","5.275.C","11.0803860381"
"277","5.276.C","11.5326593999"
"278","5.277.C","6.9393928808"
"279","5.278.C","11.5623981692"
"280","5.279.C","9.2990178958"
"281","5.280.C","10.7880449953"
"282","5.281.C","11.1499967367"
"283","5.282.C","5.529569022"
"284","5.283.C","3.83517607"
"285","5.284.C","3.0569643335"
"286","5.285.C","9.678548449"
"287","5.286.C","12.2518429796"
"288","5.287.C","11.4336465606"
"289","5.288.C","8.566864274"
"290","5.289.C","6.2842861172"
"291","5.290.C","4.3342783814"
"292","5.291.C","7.7087848892"
"293","5.292.C","12.486966671"
"294","5.293.C","9.6369372344"
"295","5.294.C","6.7530056481"
"296","5.295.C","7.6611407066"
"297","5.296.C","9.2027414315"
"298","5.297.C","10.4245343506"
"299","5.298.C","6.5239746846"
"300","5.299.C","11.4399469911"
"301","5.300.C","10.852484485"
"302","5.301.C","11.1601981376"
"303","5.302.C","6.9628674334"
"304","5.303.C","8.5749523818"
"305","5.304.C","8.0977037181"
"306","5.305.C","11.1714413235"
"307","5.306.C","7.9698191209"
"308","5.307.C","7.5003793507"
"309","5.308.C","7.5827779652"
"310","5.309.C","5.7189194435"
"311","5.310.C","3.1153755991"
"312","5.311.C","3.8224149426"
"313","5.312.C","3.808841375"
"314","5.313.C","3.5499912811"
"315","5.314.C","9.9956809785"
"316","5.315.C","6.7561103952"
"317","5.316.C","7.700346316"
"318","5.317.C","3.7774740743"
"319","5.318.C","7.9646780909"
"320","5.319.C","6.9395364468"
"321","5.320.C","3.7903184996"
"322","5.321.C","4.772721828"
"323","5.322.C","6.7887549727"
"324","5.323.C","6.9569661685"
"325","5.324.C","0.7711279615"
"326","5.325.C","9.0436529931"
"327","5.326.C","6.9317210507"
"328","5.327.C","10.0986710627"
"329","5.328.C","5.5040549587"
"330","5.329.C","3.9351837936"
"331","5.330.C","7.234114696"
"332","5.331.C","9.654206922"
"333","5.332.C","7.0921886922"
"334","5.333.C","7.608141555"
"335","5.334.C","6.0916722365"
"336","5.335.C","9.0794637196"
"337","5.336.C","7.473097204"
"338","5.337.C","10.6942569554"
"339","5.338.C","3.601050744"
"340","5.339.C","3.2700896626"
"341","5.340.C","7.3574442898"
"342","5.341.C","7.2020179548"
"343","5.342.C","8.9120796356"
"344","5.343.C","3.7268403148"
"345","5.344.C","1.7454309074"
"346","5.345.C","7.4327842587"
"347","5.346.C","6.5052422638"
"348","5.347.C","6.2851161449"
"349","5.348.C","3.9854083202"
"350","5.349.C","8.168392619"
"351","5.350.C","6.8506839581"
"352","5.351.C","5.2920573445"
"353","5.352.C","6.6125573817"
"354","5.353.C","3.4609053334"
"355","5.354.C","12.8504872441"
"356","5.355.C","4.1385540503"
"357","5.356.C","7.2459549646"
"358","5.357.C","0"
"359","5.358.C","3.7977844769"
"360","5.359.C","2.2153872649"
"361","5.360.C","3.1616056373"
"362","5.361.C","6.7612820629"
"363","5.362.C","9.376456289"
"364","5.363.C","9.0682932074"
"365","5.364.C","6.7303005548"
"366","5.365.C","3.5152506988"
"367","5.366.C","6.6501639826"
"368","5.367.C","6.8890931684"
"369","5.368.C","1.8383250101"
"370","5.369.C","0.564693497"
"371","5.370.C","5.7189405527"
"372","5.371.C","3.3581510127"
"373","5.372.C","6.4951957694"
"374","5.373.C","7.1072891562"
"375","5.374.C","6.0716819335"
"376","5.375.C","5.3220637537"
"377","5.376.C","8.9304278233"
"378","5.377.C","1.7730381583"
"379","5.378.C","7.2163467634"
"380","5.379.C","4.0583960509"
"381","5.380.C","5.4103548078"
"382","5.381.C","7.2043829727"
"383","5.382.C","11.2909449831"
"384","5.383.C","8.2084724562"
"385","5.384.C","8.7137400887"
"386","5.385.C","5.6773118776"
"387","5.386.C","3.7317409009"
"388","5.387.C","6.858428588"
"389","5.388.C","4.1124664747"
"390","5.389.C","3.5749862353"
"391","5.390.C","1.8428454169"
"392","5.391.C","4.5466099816"
"393","5.392.C","3.9419845592"
"394","5.393.C","7.8992097587"
"395","5.394.C","5.7734246951"
"396","5.395.C","6.2662690935"
"397","5.396.C","5.7736501192"
"398","5.397.C","4.5386901067"
"399","5.398.C","2.6635220597"
"400","5.399.C","5.6284406163"
"401","5.400.C","4.7827652875"
"402","5.401.C","3.4799470807"
"403","5.402.C","5.595749344"
"404","5.403.C","4.8054982733"
"405","5.404.C","6.3408765005"
"406","5.405.C","6.5015845262"
"407","5.406.C","2.693166912"
"408","5.407.C","0.102484271599998"
"409","5.408.C","3.1984609213"
"410","5.409.C","7.4159920095"
"411","5.410.C","5.1859470974"
"412","5.411.C","3.2310857745"
"413","5.412.C","6.3225984518"
"414","5.413.C","5.6985984142"
"415","5.414.C","3.2334128627"
"416","5.415.C","0.869442511999999"
"417","5.416.C","5.7057695118"
"418","5.417.C","2.5673761541"
"419","5.418.C","4.4217766309"
"420","5.419.C","7.7797522136"
"421","5.420.C","6.1707451842"
"422","5.421.C","2.8233611536"
"423","5.422.C","1.0305848377"
"424","5.423.C","5.6460911034"
"425","5.424.C","1.8796456791"
"426","5.425.C","4.1690099132"
"427","5.426.C","0.948806793499998"
"428","5.427.C","4.7628135387"
"429","5.428.C","0.809587641199997"
"430","5.429.C","3.1441360532"
"431","5.430.C","5.7834267108"
"432","5.431.C","0.513732122999997"
"433","5.432.C","2.3473705341"
"434","5.433.C","6.1627153525"
"435","5.434.C","0.912579271299997"
"436","5.435.C","2.0132499039"
"437","5.436.C","6.3094283605"
"438","5.437.C","0.480678694300003"
"439","5.438.C","6.3435041678"
"440","5.439.C","0.4377353239"
"441","5.440.C","1.5296130877"
"442","5.441.C","1.8838407301"
"443","5.442.C","3.6948804809"
"444","5.443.C","2.1142395418"
"445","5.444.C","1.4642218263"
"446","5.445.C","2.3290200105"
"447","5.446.C","3.8466701362"
"448","5.447.C","1.7352486514"
"449","5.448.C","3.4914993001"
"450","5.449.C","2.3723082891"
"451","5.450.C","0.534022180500003"
"452","5.451.C","4.2295346672"
"453","5.452.C","3.0705583779"
"454","5.453.C","6.2497962371"
"455","5.454.C","2.4831041526"
"456","5.455.C","2.4917556153"
"457","5.456.C","1.6964965817"
"458","5.457.C","2.0565982959"
"459","5.458.C","0.0766103337000033"
"460","5.459.C","3.7774954945"
"461","5.460.C","0.433128838199998"
"462","5.461.C","3.8059938884"
"463","5.462.C","0.549828040199998"
"464","5.463.C","1.0396300329"
"465","5.464.C","0.215940695900002"
"466","5.465.C","0"
"467","5.466.C","0"
"468","5.467.C","0"
"469","5.468.C","0.0255902506999988"
"470","5.469.C","0"
"471","5.470.C","0.837354504099999"
"472","5.471.C","2.1614455428"
"473","5.472.C","0.760418447699998"
"474","5.473.C","0"
"475","5.474.C","0.652593056100002"
"476","5.475.C","0"
"477","5.476.C","0.625304299"
"478","5.477.C","0.8811264884"
"479","5.478.C","2.1507295578"
"480","5.479.C","0.0404156921999999"
"481","5.480.C","0.5096873225"
"482","5.481.C","0"
"483","5.482.C","0"
"484","5.483.C","0.1242875441"
"485","5.484.C","2.1522243561"
"486","5.485.C","0.619595331699998"
"487","5.486.C","0.162529783399997"
"488","5.487.C","0"
"489","5.488.C","1.462493359"
"490","5.489.C","0"
"491","5.490.C","0.524042591600001"
"492","5.491.C","0"
"493","5.492.C","0.735834090099999"
"494","5.493.C","0"
"495","5.494.C","0"
"496","5.495.C","0"
"497","5.496.C","0"
"498","5.497.C","0.990170903699997"
"499","5.498.C","0.510037306100003"
"500","5.499.C","0.176959646699999"
"501","5.500.C","0"
"502","5.501.C","0"
"503","5.502.C","0"
"504","5.503.C","0"
"505","5.504.C","0"
